tti,rnti,weight,metrics
2190203,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190203,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190204,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190204,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190205,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190205,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190206,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190206,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190210,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190210,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190211,17942,1.0,"{""cqi"": 15, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 29.740001678466797, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
2190211,17944,0.0,"{""cqi"": 3, ""dl_buffer"": 0, ""dl_tbs"": 0.0, ""rx_bytes"": 0.0, ""snr"": 28.786001205444336, ""tx_bytes"": 0.0, ""ul_buffer"": 0, ""ul_harq_ack"": false, ""ul_tx_attempt"": false}"
